"Selected Filters: All States | FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)"
""
"Total Funding: $1,316,374,135"
"Number of Grants: 1,387"

"Grantee Name","Grant Number","Program Name","City","State","ZIP Code","County","Congressional District","Award Fiscal Year","Award Funding"
"Anderson Valley Health Center","H8DCS35783","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Boonville","CA","95415-9133","Mendocino","CA-02","2020","$554,705"
"Anson Regional Medical Services, Inc.","H8DCS36359","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Wadesboro","NC","28170-2155","Anson","NC-09","2020","$561,335"
"Anthony L. Jordan Health Corporation","H8DCS36566","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Rochester","NY","14605-2131","Monroe","NY-25","2020","$952,970"
"Apicha Community Health Center","H8DCS36587","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New York","NY","10013-3698","New York","NY-10","2020","$616,955"
"Apla Health & Wellness","H8DCS35781","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Los Angeles","CA","90005-2319","Los Angeles","CA-34","2020","$694,205"
"Appalachian District Health Department","H8DCS36391","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Sparta","NC","28675-3000","Alleghany","NC-05","2020","$620,540"
"Appalachian Mountain Community Health Centers","H8DCS36495","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Asheville","NC","28801-4136","Buncombe","NC-10","2020","$761,090"
"Arcare","H8DCS35401","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Augusta","AR","72006-2309","Woodruff","AR-01","2020","$1,716,035"
"Arkansas Verdigris Valley Health Centers, Inc.","H8DCS35551","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Porter","OK","74454-1015","Wagoner","OK-01","2020","$621,515"
"Arroyo Vista Family Health Foundation","H8DCS35545","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Los Angeles","CA","90042-4232","Los Angeles","CA-34","2020","$1,092,875"
"Asher Community Health Center","H8DCS35697","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fossil","OR","97830-8371","Wheeler","OR-02","2020","$522,530"
"Asian American Health Coalition Of The Greater Houston Area, Inc.","H8DCS36417","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Houston","TX","77036-5110","Harris","TX-09","2020","$975,380"
"Asian Americans For Community Involvement Of Santa Clara, Inc, The","H8DCS35826","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Jose","CA","95128-2680","Santa Clara","CA-18","2020","$543,485"
"Asian And Pacific Islander Wellness Center, Inc.","H8DCS35771","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Francisco","CA","94109-7813","San Francisco","CA-12","2020","$511,685"
"Asian Health Services","H8DCS35661","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Oakland","CA","94607-4707","Alameda","CA-13","2020","$972,575"
"Asian Human Services Family Health Center","H8DCS36163","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chicago","IL","60659-4128","Cook","IL-09","2020","$895,370"
"Asian Pacific Health Care Venture, Inc.","H8DCS35651","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Los Angeles","CA","90029-2256","Los Angeles","CA-28","2020","$872,150"
"Asian Services In Action, Inc.","H8DCS36699","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Akron","OH","44304-1526","Summit","OH-13","2020","$551,330"
"Atascosa Health Center, Inc.","H8DCS36464","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Pleasanton","TX","78064-4033","Atascosa","TX-28","2020","$914,855"
"Atchison Community Health Clinic","H8DCS36105","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Atchison","KS","66002-1203","Atchison","KS-02","2020","$552,665"
"Athens Neighborhood Health Center","H8DCS36071","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Athens","GA","30601-2635","Clarke","GA-10","2020","$675,635"
"Atlanticare Health Services Inc","H8DCS36375","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Egg Harbor Township","NJ","08234-5549","Atlantic","NJ-02","2020","$694,115"
"Audubon Area Community Care Clinic, Inc.","H8DCS36339","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Owensboro","KY","42301-1952","Daviess","KY-02","2020","$514,925"
"Aunt Martha'S Health And Wellness, Inc.","H8DCS36160","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Olympia Fields","IL","60461-1021","Cook","IL-02","2020","$1,861,895"
"Avenal Community Health Center","H8DCS35725","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lemoore","CA","93245-2611","Kings","CA-21","2020","$1,073,300"
"Axesspointe Community Health Center, Inc.","H8DCS36654","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Akron","OH","44306-3771","Summit","OH-11","2020","$868,100"
"Axis Community Health, Inc.","H8DCS35735","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Pleasanton","CA","94566-6611","Alameda","CA-15","2020","$806,585"
"B-K Health Center, Inc.","H8DCS36642","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Montrose","PA","18801-1317","Susquehanna","PA-12","2020","$581,855"
"Bakersville Community Medical Clinic, Incorporated","H8DCS36408","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bakersville","NC","28705-6502","Mitchell","NC-11","2020","$648,470"
"Baldwin Family Health Care","H8DCS35589","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Baldwin","MI","49304-7984","Lake","MI-02","2020","$932,345"
"Baltimore Medical System, Inc.","H8DCS36318","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Baltimore","MD","21213-2029","Baltimore City","MD-03","2020","$1,644,575"
"Bandon Community Health Center","H8DCS35705","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bandon","OR","97411-9301","Coos","OR-04","2020","$551,075"
"Banyan Community Health Center, Inc.","H8DCS35990","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Miami","FL","33126-2080","Miami-Dade","FL-25","2020","$781,880"
"Baptist Community Health Services, Inc.","H8DCS35746","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New Orleans","LA","70117-4258","Orleans","LA-02","2020","$569,399"
"Barrio Comprehensive Family Health Care Center, Inc.","H8DCS36416","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Antonio","TX","78220-1013","Bexar","TX-35","2020","$2,041,250"
"Bartz-Altadonna Community Health Center","H8DCS35817","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lancaster","CA","93535-4569","Los Angeles","CA-25","2020","$639,245"
"Baton Rouge Primary Care Collaborative, Inc.","H8DCS35773","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Baton Rouge","LA","70802-3808","East Baton Rouge","LA-02","2020","$556,025"
"Battenkill Valley Health Center, Inc.","H8DCS36208","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Arlington","VT","05250-4457","Bennington","VT-00","2020","$550,430"
"Bay Clinic, Inc.","H8DCS36074","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hilo","HI","96720-3089","Hawaii","HI-02","2020","$876,290"
"Bay Mills Indian Community","H8DCS35497","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Brimley","MI","49715-9319","Chippewa","MI-01","2020","$566,285"
"Bayou La Batre Area Health Development Board, Inc","H8DCS35400","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Irvington","AL","36544-4011","Mobile","AL-01","2020","$862,955"
"Beacon Christian Community Health Center","H8DCS36584","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Staten Island","NY","10303-1865","Richmond","NY-11","2020","$595,805"
"Bear Lake Community Health Center, Inc.","H8DCS35884","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Garden City","UT","84028","Rich","UT-01","2020","$889,940"
"Beaufort-Jasper-Hampton Comprehensive Health Services, Incorporated","H8DCS36262","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Okatie","SC","29909-3963","Jasper","SC-06","2020","$932,015"
"Bedford Stuyvesant Family Health Center, Inc., The","H8DCS36581","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Brooklyn","NY","11216-2505","Kings","NY-08","2020","$772,535"
"Bee Busy Wellness Center","H8DCS36448","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Houston","TX","77031-2403","Harris","TX-09","2020","$808,535"
"Behavioral Health Services Inc","H8DCS35720","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Gardena","CA","90249-4525","Los Angeles","CA-43","2020","$567,395"
"Belington Community Medical Services Association","H8DCS35918","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Belington","WV","26250-7403","Barbour","WV-01","2020","$689,750"
"Beloved Community Family Wellness Center","H8DCS36119","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chicago","IL","60621-1833","Cook","IL-01","2020","$652,505"
"Ben Archer Health Center, Inc.","H8DCS36390","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hatch","NM","87937","Dona Ana","NM-02","2020","$1,752,905"
"Benevolence Industries Incorporated","H8DCS35718","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Los Angeles","CA","90019-4534","Los Angeles","CA-37","2020","$769,550"
"Benewah Medical Center","H8DCS36082","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Plummer","ID","83851-4000","Benewah","ID-01","2020","$662,405"
"Benton County","H8DCS35694","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Corvallis","OR","97330-5223","Benton","OR-04","2020","$711,800"
"Berks Community Health Center","H8DCS36619","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Reading","PA","19602-1108","Berks","PA-06","2020","$737,000"
"Bertie County Rural Health Association","H8DCS36370","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Windsor","NC","27983-9656","Bertie","NC-01","2020","$559,460"
"Betances Health Center","H8DCS36564","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New York","NY","10002-4816","New York","NY-07","2020","$602,585"
"Bethel Family Clinic","H8DCS35386","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bethel","AK","99559","Bethel","AK-00","2020","$576,455"
"Betty Jean Kerr - People'S Health Centers","H8DCS35931","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Saint Louis","MO","63112-2617","St. Louis City","MO-01","2020","$1,213,925"
"Big Sandy Health Care, Inc.","H8DCS36345","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Prestonsburg","KY","41653-9097","Floyd","KY-05","2020","$958,340"
"Big Springs Medical Association, Inc","H8DCS35926","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Ellington","MO","63638-9400","Reynolds","MO-08","2020","$881,585"
"Bighorn Valley Health Center, Inc","H8DCS35886","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hardin","MT","59034-1804","Big Horn","MT-00","2020","$685,130"
"Blackstone Valley Community Health Care, Inc.","H8DCS36281","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Pawtucket","RI","02860-4003","Providence","RI-01","2020","$878,510"
"Bland County Medical Clinic Inc","H8DCS36746","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bastian","VA","24314-4547","Bland","VA-09","2020","$654,440"
"Blue Ridge Community Health Services, Inc.","H8DCS36503","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hendersonville","NC","28792-9181","Henderson","NC-11","2020","$1,625,885"
"Blue Ridge Medical Center Inc","H8DCS36741","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Arrington","VA","22922-2302","Nelson","VA-05","2020","$671,945"
"Bluegrass Primary Health Care Center, Inc.","H8DCS36341","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lexington","KY","40504-1795","Fayette","KY-06","2020","$503,000"
"Bluestem Health","H8DCS35923","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lincoln","NE","68503-1803","Lancaster","NE-01","2020","$908,735"
"Bluestone Health Association, Inc.","H8DCS35875","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Princeton","WV","24740-7660","Mercer","WV-03","2020","$765,065"
"Bond Community Health Center, Inc.","H8DCS35983","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Tallahassee","FL","32301-5506","Leon","FL-05","2020","$768,140"
"Borinquen Health Care Center, Inc.","H8DCS35998","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Miami","FL","33137-3795","Miami-Dade","FL-24","2020","$1,994,795"
"Borough Of Bristol Bay","H8DCS35375","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Naknek","AK","99633","Bristol Bay","AK-00","2020","$530,675"
"Borrego Community Health Foundation","H8DCS35557","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Borrego Springs","CA","92004","San Diego","CA-50","2020","$4,294,745"
"Boston Health Care For The Homeless Program, Inc., The","H8DCS35475","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Boston","MA","02118-2755","Suffolk","MA-07","2020","$718,910"
"Boston Mountain Rural Health Center, Inc.","H8DCS35422","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Marshall","AR","72650-9477","Searcy","AR-01","2020","$835,895"
"Boundary Regional Community Health Center, Inc.","H8DCS36083","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bonners Ferry","ID","83805-7523","Boundary","ID-01","2020","$792,665"
"Bowling Green-Warren County Primary Care Center, Inc.","H8DCS36342","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bowling Green","KY","42103-7995","Warren","KY-02","2020","$727,415"
"Brazos Valley Community Action Agency, Inc.","H8DCS36425","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","College Station","TX","77840-2600","Brazos","TX-17","2020","$1,460,540"
"Bread For The City, Inc.","H8DCS35958","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Washington","DC","20001-3201","District of Columbia","DC-98","2020","$565,415"
"Brevard Health Alliance, Inc., The","H8DCS36098","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Palm Bay","FL","32905-4616","Brevard","FL-08","2020","$1,677,215"
"Bristol Bay Area Health Corporation","H8DCS35373","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Dillingham","AK","99576","Dillingham","AK-00","2020","$613,250"
"Broad Top Area Medical Center, Inc., The","H8DCS36629","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Broad Top","PA","16621-9001","Huntingdon","PA-13","2020","$755,345"
"Brockton Neighborhood Health Center, Inc.","H8DCS35468","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Brockton","MA","02301-4042","Plymouth","MA-08","2020","$1,318,670"
"Bronx Community Health Network, Inc","H8DCS36575","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bronx","NY","10458-5871","Bronx","NY-15","2020","$2,487,350"
"Bronx Lebanon Integrated Service System Inc","H8DCS36551","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bronx","NY","10457-7663","Bronx","NY-15","2020","$2,339,675"
"Brooklyn Plaza Medical Center","H8DCS36552","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Brooklyn","NY","11217-1517","Kings","NY-08","2020","$627,440"
"Broward Community And Family Health Centers, Inc.","H8DCS35995","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hollywood","FL","33021-6557","Broward","FL-24","2020","$803,075"
"Brownsville Community Development Corporation","H8DCS36590","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Brooklyn","NY","11212-5539","Kings","NY-09","2020","$920,600"
"Brownsville Community Health Clinic Corporation","H8DCS36440","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Brownsville","TX","78521-3527","Cameron","TX-34","2020","$1,139,135"
"Bucksport Regional Health Center","H8DCS36322","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bucksport","ME","04416-4612","Hancock","ME-02","2020","$598,790"
